trade_id,entry_time,exit_time,entry_ts_ms,exit_ts_ms,entry_price,exit_price,qty,pnl,return_pct,days_held,entry_reason,exit_reason
1,2019-04-10T20:00:00Z,2019-04-27T12:00:00Z,1554926400000,1556366400000,5170.82,5274.64,0.81661717,80.47,2.01,16.67,vdo_trend_accel,trailing_stop
2,2019-04-29T00:00:00Z,2019-05-17T04:00:00Z,1556496000000,1558065600000,5388.94,7339.90,1.76655094,3433.50,36.20,18.17,vdo_trend_accel,trailing_stop
3,2019-05-17T20:00:00Z,2019-06-04T00:00:00Z,1558123200000,1559606400000,7622.66,8111.20,1.70055717,817.00,6.41,17.17,vdo_dip_buy,trailing_stop
4,2019-06-06T04:00:00Z,2019-06-27T16:00:00Z,1559793600000,1561651200000,7883.53,11823.49,1.75515999,6894.51,49.98,21.50,vdo_trend_accel,trailing_stop
5,2019-07-03T04:00:00Z,2019-07-11T16:00:00Z,1562126400000,1562860800000,11436.42,11489.11,1.39841912,57.61,0.46,8.50,vdo_trend_accel,trailing_stop
6,2019-07-18T08:00:00Z,2019-07-23T08:00:00Z,1563436800000,1563868800000,10494.30,10036.09,1.17259978,-549.07,-4.37,5.00,vdo_trend_accel,trailing_stop
7,2019-07-25T04:00:00Z,2019-08-10T20:00:00Z,1564027200000,1565467200000,9881.83,11325.33,1.95277764,2796.71,14.61,16.67,vdo_trend_accel,trailing_stop
8,2019-08-16T16:00:00Z,2019-08-21T08:00:00Z,1565971200000,1566374400000,10328.39,10133.41,2.15617838,-442.26,-1.89,4.67,vdo_trend_accel,trailing_stop
9,2019-08-23T16:00:00Z,2019-08-28T20:00:00Z,1566576000000,1567022400000,10267.12,9679.90,1.89570953,-1131.53,-5.72,5.17,vdo_trend_accel,emergency_dd
10,2019-08-31T00:00:00Z,2019-09-08T20:00:00Z,1567209600000,1567972800000,9637.44,10334.70,2.26255761,1554.21,7.23,8.83,vdo_trend_accel,trailing_stop
11,2019-09-12T00:00:00Z,2019-09-19T04:00:00Z,1568246400000,1568865600000,10240.29,9817.30,2.23802838,-968.63,-4.13,7.17,vdo_trend_accel,emergency_dd
12,2019-09-20T00:00:00Z,2019-09-24T00:00:00Z,1568937600000,1569283200000,10151.07,9696.86,1.40341780,-651.04,-4.47,4.00,vdo_trend_accel,emergency_dd
13,2019-09-26T00:00:00Z,2019-10-31T04:00:00Z,1569456000000,1572494400000,8259.12,9095.01,2.54632921,2105.27,10.12,35.17,vdo_dip_buy,trailing_stop
14,2019-11-02T00:00:00Z,2019-11-15T16:00:00Z,1572652800000,1573833600000,9272.20,8474.79,2.23669921,-1802.53,-8.60,13.67,vdo_trend,emergency_dd
15,2019-11-17T04:00:00Z,2019-11-21T16:00:00Z,1573963200000,1574352000000,8486.68,7627.23,0.90630256,-785.83,-10.13,4.50,vdo_trend_accel,emergency_dd
16,2020-01-17T08:00:00Z,2020-02-11T08:00:00Z,1579248000000,1581408000000,9167.65,9734.51,2.09889916,1169.37,6.18,25.00,vdo_trend_accel,trailing_stop
17,2020-02-18T16:00:00Z,2020-02-26T08:00:00Z,1582041600000,1582704000000,9825.20,9143.05,2.26946363,-1568.86,-6.94,7.67,vdo_trend_accel,emergency_dd
18,2020-02-29T00:00:00Z,2020-03-08T04:00:00Z,1582934400000,1583640000000,8698.78,8742.11,2.27901791,78.81,0.50,8.17,vdo_trend_accel,trailing_stop
19,2020-03-11T04:00:00Z,2020-03-12T08:00:00Z,1583899200000,1584000000000,7931.96,7388.05,1.41719520,-781.28,-6.86,1.17,vdo_trend_accel,emergency_dd
20,2020-05-01T08:00:00Z,2020-05-10T04:00:00Z,1588320000000,1589083200000,9178.31,8617.99,0.19364155,-110.17,-6.10,8.83,vdo_trend,trailing_stop
21,2020-05-17T16:00:00Z,2020-05-25T00:00:00Z,1589731200000,1590364800000,9707.65,8713.35,1.70210038,-1707.24,-10.24,7.33,vdo_trend_accel,emergency_dd
22,2020-05-26T08:00:00Z,2020-06-03T04:00:00Z,1590480000000,1591156800000,9117.77,9486.36,1.92013345,689.53,4.04,7.83,vdo_trend_accel,trailing_stop
23,2020-06-04T16:00:00Z,2020-06-27T20:00:00Z,1591286400000,1593288000000,9639.90,8932.54,1.90078090,-1361.52,-7.34,23.17,vdo_trend_accel,emergency_dd
24,2020-06-29T20:00:00Z,2020-08-03T00:00:00Z,1593460800000,1596412800000,9181.71,11065.27,1.80603224,3381.78,20.51,34.17,vdo_trend_accel,trailing_stop
